T249;4006271;34311213;0;29;6;3;4;5;12;10;4;5;73;3;1;0;1951;3;2;2
T143;3665833;12156911;3;20;4;4;2;6;7;5;0;1;88;3;0;6;2005;1;2;3
T250;1566664;19660731;2;25;4;7;3;7;4;10;3;1;73;0;1;4;1914;0;1;2
T421;4868823;44410996;2;31;8;18;3;7;7;8;1;3;68;1;1;12;1947;4;2;1
T337;2437206;38206574;5;46;6;0;1;10;8;9;2;4;18;0;2;7;1960;5;1;5
T130;4508909;40076177;6;40;9;8;5;6;3;0;4;0;0;0;2;9;2012;5;1;0
T295;2149970;35825322;5;31;0;6;5;0;16;4;0;2;71;5;1;0;1970;5;0;5
T297;4059396;44936285;0;29;10;11;1;0;7;0;4;4;27;3;0;5;1900;4;0;0
T142;4699400;20801566;3;55;5;19;5;1;7;3;0;2;97;2;2;10;1984;4;0;5
T164;4170678;41169520;4;15;2;1;1;3;1;1;2;0;54;2;0;6;1975;4;2;5
T5;4169266;29204465;1;50;10;11;5;2;0;5;0;4;13;5;1;10;1931;1;1;1
T278;3771169;15026458;5;23;2;8;1;0;9;7;1;3;59;3;0;1;1965;0;1;0
T495;2226807;40166121;4;18;10;18;1;5;14;3;3;1;11;3;2;11;1910;3;1;4
T196;4157327;48138721;6;32;4;17;4;0;16;1;2;2;59;4;1;6;1900;2;1;4
T458;4799831;37844932;1;62;0;2;1;7;5;7;4;2;42;1;2;4;1996;5;2;2
T197;4148479;27119790;0;13;10;18;3;9;7;0;4;4;86;1;1;11;1976;4;1;1
T186;2171877;38822115;2;46;0;10;3;4;16;0;5;4;64;4;1;0;1918;1;1;1
T44;3168055;33877718;2;64;6;0;5;2;14;0;5;1;48;1;2;6;1980;2;0;5
T104;3906383;46626389;5;38;7;11;1;9;8;6;4;4;91;4;0;11;1960;5;0;1
T438;4221027;25382141;4;35;3;17;5;3;11;0;4;5;52;2;0;10;1943;2;1;0
T127;2402514;15359255;4;61;1;5;5;10;12;10;5;0;19;2;0;6;1983;3;2;5
T269;4593625;23616430;5;35;1;13;5;6;16;9;1;0;78;2;1;4;1954;0;2;5
T449;2267943;22207408;5;61;2;8;3;2;5;2;2;1;90;0;2;9;1904;4;1;5
T45;3566346;43027577;5;65;8;18;4;1;6;8;5;3;20;4;2;10;1962;2;1;2
T239;3208187;15296144;4;24;10;17;2;1;16;5;5;1;60;0;1;7;1948;5;1;2
T103;2869594;48612214;5;32;8;9;0;0;16;8;1;5;11;5;1;7;1985;3;0;3
T109;4364229;13813716;6;62;5;4;4;2;6;6;5;4;5;4;0;6;1915;0;2;0
T275;4856752;32730853;1;63;5;3;1;8;9;1;4;3;12;4;0;5;2001;0;0;0
