Técnico;1.01;CEP;1.02;1.03;2.01;2.02;2.03;2.04;2.05;2.06;2.07;2.08;3.01;3.02;4.01;4.021;4.022;4.03;4.04;4.05
T199;2300101;08430-026;6;65;2;4;2;-;4;7;1;1;12;2;2;3;1967;2;1;3
T095;2900207;04854-280;6;51;1;4;2;-;9;5;3;-;6;2;1;1;1988;2;2;2
T147;2900108;04470-315;1;15;1;4;2;-;7;6;2;-;12;2;1;12;1984;1;2;1
T027;2600054;08161-005;6;64;5;2;2;-;7;1;2;-;4;1;2;6;1974;3;1;2
T177;2900306;04847-005;5;13;1;4;1;4;6;6;2;-;1;2;1;2;1980;1;2;2
T149;2300150;08081-383;1;64;2;1;1;2;8;3;1;1;2;2;2;11;1979;2;1;1
T020;2300200;08081-385;6;13;6;0;1;5;10;5;1;2;4;2;1;9;1968;3;1;3
T020;2400109;08021-457;5;52;2;2;2;-;8;5;3;-;2;2;2;10;1982;5;1;3
T117;2200053;04429-005;6;15;5;4;1;4;6;3;3;-;1;2;1;5;1980;1;1;2
T111;2300309;04854-270;1;12;5;1;2;-;1;6;2;-;2;2;1;6;1983;1;2;2
T041;2900355;04845-205;6;13;3;1;1;5;10;5;1;1;12;1;1;10;1993;1;1;3
T092;2600104;04854-260;6;14;1;0;2;-;1;6;3;-;1;1;1;9;1965;3;2;3
T011;2400307;02812-275;6;62;6;2;1;1;9;1;2;-;6;1;2;6;1999;2;2;1
T130;2100105;04866-190;6;64;3;3;2;-;4;7;1;2;4;1;2;11;1955;5;2;3
T023;2600203;04866-200;6;53;3;0;2;-;5;2;3;-;4;2;2;3;1954;3;2;3
T188;2600302;02365-016;1;63;1;2;2;-;4;5;1;3;2;1;1;1;1950;4;1;3
T097;2200103;02282-055;6;12;4;3;2;-;4;1;1;3;3;1;1;11;1951;1;1;1
T187;2500205;02993-005;6;65;4;1;2;-;5;1;2;-;12;2;2;6;1954;3;2;2
T064;2900603;04429-003;1;15;5;0;1;2;7;3;2;-;6;2;1;2;1984;1;2;3
T044;2300408;05796-165;1;11;2;0;2;-;5;4;1;2;6;2;1;4;1977;3;1;1
T042;2500304;04843-555;6;12;3;2;1;3;5;5;1;2;12;1;1;4;1983;5;2;1
T003;2500403;08430-880;5;62;3;4;2;-;1;6;3;-;4;1;1;5;1962;4;1;2
T080;2500502;08430-875;5;64;2;2;1;6;3;2;3;-;12;2;2;4;1960;2;2;3
T175;2600609;08430-873;6;12;6;3;2;-;10;1;2;-;10;1;1;12;1974;3;2;2
T131;2200251;08430-870;5;11;6;0;1;1;3;1;3;-;4;2;1;4;1968;4;2;3
T105;2900702;08430-863;6;12;5;4;1;4;7;4;2;-;4;2;2;8;1980;2;2;2
T011;2500536;08430-855;6;62;6;1;1;4;3;3;2;-;2;1;1;3;1996;2;2;1
T060;2900801;08430-853;5;65;4;4;1;5;1;1;1;2;3;2;1;12;1989;3;1;2
T159;2100204;08430-850;6;52;2;2;1;3;8;6;3;-;2;2;1;11;1999;1;1;3
T173;2300507;03906-150;1;14;1;4;1;5;2;2;3;-;4;2;1;9;1958;5;2;2
T115;2100303;03906-140;1;53;3;2;2;-;3;7;3;-;1;2;1;1;1992;1;1;2
T082;2200277;03906-130;5;63;3;2;2;-;3;2;1;1;6;1;1;8;1955;2;1;3
T130;2400505;03906-120;5;14;5;4;2;-;5;1;1;3;10;2;1;5;1984;2;1;3
T138;2500577;08430-885;1;64;2;1;2;-;5;7;2;-;1;2;2;12;1986;2;2;3
T088;2500601;02866-165;1;12;2;0;1;3;3;3;1;3;1;1;2;4;1960;4;2;3
T137;2600708;04894-270;1;11;2;3;1;2;3;4;1;1;10;1;1;6;1956;4;2;3
T114;2900900;04894-280;6;53;2;2;1;2;10;6;3;-;10;1;1;7;1981;1;1;1
T181;2400604;04894-290;1;61;6;3;2;-;5;1;3;-;6;1;1;6;1997;5;1;3
T130;2100402;04894-300;6;52;1;4;2;-;10;6;3;-;2;1;1;9;1951;3;1;3
T179;2300606;04894-310;5;53;1;0;2;-;5;7;1;3;6;2;1;7;1978;4;1;1
T142;2600807;03906-110;5;63;4;4;1;1;8;7;3;-;1;1;2;10;1969;2;2;3
T156;2100436;04894-330;5;12;4;1;2;-;1;3;1;1;12;2;1;4;1951;3;2;2
T150;2100477;03906-100;5;63;2;0;2;-;4;3;2;-;2;1;2;7;1951;4;2;3
T029;2400703;05792-065;5;12;1;3;1;2;4;1;3;-;1;1;1;10;1950;3;2;1
T089;2200301;05269-065;1;51;6;1;1;5;3;5;1;2;12;2;1;1;1952;4;2;1
T027;2100501;03924-105;5;15;1;3;1;3;7;5;2;-;6;2;1;2;1974;1;2;1
T047;2300705;02982-195;5;53;5;1;1;1;10;3;3;-;2;2;1;2;1996;3;2;2
T125;2200400;03812-035;6;65;5;1;1;1;3;4;1;2;2;2;1;4;1954;2;2;2
T130;2200459;08430-890;5;12;4;3;1;6;9;2;3;-;12;2;2;4;1981;2;1;3
T128;2100550;04894-320;6;53;2;4;2;-;5;6;1;1;2;2;1;9;1958;2;1;2
T170;2600906;04893-170;1;63;1;0;2;-;7;1;3;-;4;1;2;12;1971;4;2;2
T186;2100600;04847-220;6;12;6;2;1;3;7;4;1;3;12;2;2;4;1997;4;1;1
T044;2200509;04856-070;6;65;6;1;2;-;4;6;1;2;2;1;1;8;1992;5;2;2
T137;2901007;08090-650;5;11;6;3;1;5;1;2;3;-;12;1;2;3;1962;5;1;2
T032;2300754;04898-100;1;13;6;1;2;-;3;4;1;2;2;1;2;8;1992;4;2;3
T120;2800100;04898-110;5;51;2;4;2;-;8;6;2;-;6;1;2;4;1984;5;2;1
