T281;3005891;14267244;0;57;7;5;3;5;3;8;4;2;86;2;2;5;1924;3;2;5
T274;3855668;43760726;2;47;6;2;3;3;18;0;5;4;32;4;2;9;1952;3;0;0
T150;4578269;31887346;4;40;7;8;4;0;6;3;0;3;79;4;1;11;1949;3;1;4
T377;1286073;18814439;4;38;4;15;1;2;0;5;5;1;5;3;0;11;1996;3;1;4
T488;2198798;42510762;2;21;5;0;2;6;19;6;5;4;71;2;1;2;1908;3;2;1
T338;3201853;34166617;1;61;9;12;3;1;12;5;0;3;93;1;0;12;1966;5;0;5
T495;3960167;32684827;2;38;2;13;2;10;6;8;4;5;56;1;0;12;1924;0;1;4
T155;1502144;47259896;1;62;3;1;1;0;17;2;3;0;65;3;1;9;1950;5;0;1
T51;4499664;27287651;4;26;10;16;5;10;16;4;0;2;13;2;0;8;2010;3;2;3
T301;1629033;44335139;2;62;0;12;1;10;13;2;5;3;15;4;0;1;1922;1;0;3
T16;1319606;24353764;3;61;10;17;0;9;3;0;2;0;5;2;0;8;1964;5;1;1
T293;3912924;16316172;6;13;10;8;2;7;8;7;1;0;24;0;1;6;1964;4;1;5
T246;3123056;31830054;5;51;9;9;5;7;8;7;1;0;78;4;2;4;1955;0;1;5
T395;4651500;18232460;5;31;4;2;3;5;18;0;3;2;72;0;1;0;2018;2;1;5
T77;3598210;25333910;2;42;3;14;4;9;9;0;5;2;90;5;2;11;1932;3;0;1
T488;3504997;17682809;2;42;5;5;3;0;14;4;2;2;16;0;2;12;2013;3;2;1
T203;3723492;38621040;6;43;10;0;3;2;19;0;5;3;42;1;2;7;1980;0;2;2
T70;2528856;17039207;5;62;10;17;3;9;2;4;2;1;3;3;0;3;1993;5;0;1
T63;4486575;49214607;5;21;4;3;5;2;19;5;3;2;3;2;0;11;1954;5;0;0
T489;3271142;48421393;3;46;1;7;1;7;1;7;5;5;6;1;2;1;1935;2;1;2
T379;4099542;48254899;6;63;4;8;0;5;8;10;4;0;9;0;0;4;1939;5;2;2
T292;3890288;48885612;0;35;0;3;1;3;8;3;3;3;23;1;0;9;1946;4;2;2
T143;1549180;14063238;5;41;1;16;1;9;11;7;5;0;63;3;0;12;1903;0;2;1
T215;1483931;48319045;4;56;2;9;5;8;9;5;2;2;91;5;1;0;1909;3;2;4
